id,_BATCHID,_NUMERICID,_VALUE,_TIMESTAMP,_QUALITY,
986,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.CV_SteamMaFl,0,37.17945099,2020/10/12 13:02,192,
987,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamMaFl,0,459.4846497,2020/10/12 13:02,192,
988,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressAft,0,1.439321399,2020/10/12 13:02,192,
989,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressBef,0,5.095918655,2020/10/12 13:02,192,
990,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamVolFl,0,143.5956573,2020/10/12 13:02,192,
991,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_ValPos_Y32,0,3.089999914,2020/10/12 13:02,192,
992,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.SP_SteamMaFl,0,460,2020/10/12 13:02,192,
993,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_PV,0,4002.899902,2020/10/12 13:02,192,
994,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_SP,0,4000,2020/10/12 13:02,192,
995,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_TOT,0,434.6058044,2020/10/12 13:02,192,
996,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.MOIST_PV,0,18.37001228,2020/10/12 13:02,192,
997,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.CV_SteamMaFl,0,37.17945099,2020/10/12 13:02,192,
998,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamMaFl,0,459.4846497,2020/10/12 13:02,192,
999,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressAft,0,1.439321399,2020/10/12 13:02,192,
1000,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressBef,0,5.095918655,2020/10/12 13:02,192,
967,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.CV_SteamMaFl,0,37.14306641,2020/10/12 13:01,192,SX增温增湿机 蒸汽流量 阀门开度
968,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamMaFl,0,459.7376404,2020/10/12 13:01,192,SX增温增湿机 蒸汽流量 实际值
969,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressAft,0,1.43827486,2020/10/12 13:01,192,SX增温增湿机 阀后 蒸汽压力
970,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressBef,0,5.099935055,2020/10/12 13:01,192,SX增温增湿机 阀前 蒸汽压力
971,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamVolFl,0,143.6054688,2020/10/12 13:01,192,SX增温增湿机 蒸汽体积
972,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_ValPos_Y32,0,3.019999981,2020/10/12 13:01,192,SX增温增湿机 Y32阀门 实际值
973,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.SP_SteamMaFl,0,460,2020/10/12 13:01,192,SX增温增湿机 蒸汽流量 设定值
974,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_PV,0,3997.899902,2020/10/12 13:01,192,SX增温增湿机 皮带秤 实际流量
975,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_SP,0,4000,2020/10/12 13:01,192,SX增温增湿机 皮带秤 设定流量
976,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_TOT,0,367.822937,2020/10/12 13:01,192,SX增温增湿机 皮带秤 累计量
977,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.MOIST_PV,0,18.44001389,2020/10/12 13:01,192,SX增温增湿机 入口水分 实际值
979,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamMaFl,0,459.7376404,2020/10/12 13:01,192,SX增温增湿机 蒸汽流量 实际值
980,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressAft,0,1.43827486,2020/10/12 13:01,192,SX增温增湿机 阀后 蒸汽压力
981,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamPressBef,0,5.099935055,2020/10/12 13:01,192,SX增温增湿机 阀前 蒸汽压力
982,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamVolFl,0,143.6054688,2020/10/12 13:01,192,SX增温增湿机 蒸汽体积
983,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_ValPos_Y32,0,3.019999981,2020/10/12 13:01,192,SX增温增湿机 Y32阀门 实际值
984,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_PV,0,3997.899902,2020/10/12 13:01,192,SX增温增湿机 皮带秤 实际流量
985,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.Upstream_HMI.Misc.Value.FLOW_TOT,0,367.822937,2020/10/12 13:01,192,SX增温增湿机 皮带秤 累计量
978,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.CV_SteamMaFl,0,37.14306641,2020/10/12 13:01,192,SX增温增湿机 蒸汽流量 阀门开度
947,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.CV_SteamMaFl,0,37.12543488,2020/10/12 13:00,192,
948,DietDAServer.Tags.KLD.PLC.ProgramBlock.HMI.Component.SX1_HMI.Misc.Value.PV_SteamMaFl,0,459.7946472,2020/10/12 13:00,192,
